,Name,Age,Wage,Skill Moves,Height(cm),Weight(kg),Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Medium,High,Low
8755,J. Martinez,21,70000,3.0,175.26,71.2152,64.0,49.0,39.0,63.0,49.0,69.0,45.0,49.0,60.0,68.0,73.0,77.0,74.0,63.0,70.0,51.0,59.0,66.0,61.0,59.0,51.0,38.0,66.0,65.0,52.0,53.0,45.0,47.0,37.0,10.0,7.0,10.0,11.0,13.0,1,1,0
8756,Fali,24,105000,2.0,185.42,83.916,44.0,41.0,61.0,62.0,33.0,56.0,39.0,43.0,64.0,60.0,58.0,60.0,54.0,54.0,70.0,50.0,66.0,84.0,89.0,38.0,90.0,62.0,42.0,58.0,47.0,59.0,63.0,68.0,67.0,8.0,6.0,6.0,15.0,6.0,0,1,1
8757,Chus Herrero,34,105000,2.0,182.88,74.844,52.0,35.0,66.0,61.0,33.0,25.0,46.0,36.0,54.0,58.0,51.0,53.0,63.0,60.0,59.0,47.0,76.0,66.0,77.0,45.0,73.0,64.0,36.0,38.0,32.0,56.0,70.0,63.0,64.0,7.0,6.0,7.0,14.0,13.0,1,0,0
8758,Kim Oh Gyu,29,70000,2.0,182.88,69.8544,60.0,32.0,63.0,60.0,56.0,33.0,45.0,51.0,60.0,43.0,68.0,67.0,79.0,66.0,62.0,52.0,85.0,83.0,81.0,44.0,66.0,66.0,61.0,65.0,44.0,58.0,66.0,66.0,60.0,7.0,8.0,16.0,10.0,12.0,0,1,1
8759,U. Rivas,22,210000,2.0,177.8,71.2152,60.0,42.0,54.0,73.0,56.0,58.0,55.0,60.0,69.0,71.0,70.0,65.0,64.0,57.0,61.0,65.0,64.0,85.0,59.0,65.0,55.0,68.0,58.0,60.0,52.0,60.0,57.0,66.0,61.0,6.0,15.0,14.0,8.0,13.0,1,0,1
8760,C. Lizarazo,27,35000,3.0,170.18,67.1328,63.0,56.0,48.0,64.0,64.0,66.0,67.0,67.0,63.0,65.0,86.0,81.0,84.0,63.0,84.0,66.0,55.0,59.0,53.0,69.0,46.0,32.0,64.0,65.0,68.0,63.0,54.0,40.0,28.0,12.0,11.0,13.0,8.0,7.0,1,0,1
8761,D. Braaten,36,70000,3.0,182.88,93.8952,67.0,62.0,64.0,68.0,68.0,70.0,68.0,58.0,63.0,71.0,63.0,67.0,66.0,68.0,62.0,75.0,69.0,49.0,88.0,63.0,72.0,46.0,68.0,68.0,49.0,78.0,45.0,54.0,55.0,9.0,15.0,7.0,8.0,16.0,1,1,0
8762,Lazo,22,245000,3.0,177.8,68.9472,65.0,54.0,32.0,63.0,39.0,75.0,67.0,52.0,62.0,72.0,76.0,71.0,77.0,65.0,70.0,72.0,54.0,53.0,46.0,66.0,34.0,23.0,61.0,56.0,45.0,45.0,45.0,33.0,31.0,11.0,7.0,9.0,11.0,6.0,1,0,0
8763,L. Mago,23,0,2.0,182.88,78.9264,68.0,34.0,64.0,68.0,19.0,56.0,41.0,50.0,63.0,48.0,75.0,78.0,58.0,60.0,56.0,59.0,62.0,68.0,73.0,42.0,66.0,63.0,40.0,39.0,65.0,52.0,66.0,68.0,67.0,12.0,14.0,9.0,8.0,12.0,1,0,0
8764,A. Bannink,28,105000,3.0,185.42,74.844,63.0,64.0,52.0,67.0,54.0,68.0,55.0,64.0,65.0,67.0,59.0,50.0,62.0,62.0,60.0,70.0,57.0,84.0,78.0,66.0,65.0,55.0,65.0,70.0,65.0,66.0,51.0,52.0,52.0,11.0,13.0,10.0,6.0,7.0,1,1,0
8765,S. Wootton,26,140000,2.0,187.96,78.0192,55.0,16.0,67.0,60.0,32.0,52.0,23.0,18.0,58.0,60.0,48.0,55.0,62.0,48.0,55.0,39.0,74.0,69.0,71.0,18.0,65.0,66.0,35.0,35.0,43.0,50.0,65.0,66.0,64.0,15.0,8.0,12.0,15.0,12.0,1,0,0
8766,H. Mojica,25,35000,4.0,167.64000000000001,67.1328,61.0,56.0,42.0,70.0,56.0,68.0,69.0,65.0,63.0,60.0,88.0,85.0,91.0,54.0,87.0,65.0,91.0,72.0,56.0,60.0,38.0,30.0,54.0,63.0,62.0,64.0,50.0,30.0,21.0,13.0,15.0,13.0,14.0,11.0,1,0,1
8767,T. McNamara,27,105000,3.0,175.26,77.112,56.0,63.0,42.0,69.0,44.0,68.0,76.0,64.0,63.0,69.0,59.0,58.0,70.0,66.0,67.0,79.0,45.0,55.0,70.0,80.0,73.0,40.0,70.0,67.0,42.0,68.0,26.0,45.0,48.0,15.0,6.0,13.0,11.0,15.0,1,1,0
8768,Kwak Tae Hwi,36,70000,2.0,187.96,84.8232,23.0,34.0,67.0,60.0,47.0,25.0,65.0,62.0,55.0,55.0,39.0,43.0,33.0,63.0,54.0,66.0,78.0,32.0,84.0,41.0,73.0,61.0,35.0,37.0,65.0,60.0,62.0,62.0,57.0,14.0,8.0,16.0,10.0,11.0,1,1,0
8769,C. Martins Pereira,21,350000,3.0,187.96,72.1224,52.0,47.0,65.0,72.0,47.0,59.0,47.0,39.0,59.0,66.0,51.0,52.0,56.0,59.0,66.0,65.0,58.0,68.0,68.0,45.0,64.0,63.0,57.0,52.0,45.0,59.0,68.0,66.0,64.0,7.0,6.0,6.0,13.0,13.0,1,0,0
8770,O. Bogle,24,420000,2.0,190.5,79.8336,39.0,67.0,63.0,59.0,58.0,65.0,54.0,48.0,38.0,62.0,67.0,65.0,63.0,60.0,55.0,65.0,62.0,58.0,75.0,63.0,47.0,32.0,65.0,53.0,60.0,57.0,23.0,27.0,23.0,8.0,14.0,10.0,14.0,8.0,0,1,1
8771,N. Devlin,24,70000,2.0,182.88,73.0296,60.0,48.0,58.0,56.0,40.0,62.0,57.0,43.0,55.0,60.0,86.0,88.0,71.0,57.0,67.0,57.0,71.0,85.0,72.0,45.0,88.0,58.0,57.0,54.0,50.0,58.0,57.0,64.0,62.0,10.0,9.0,8.0,11.0,14.0,0,1,0
8772,M. Marras,24,70000,3.0,167.64000000000001,63.0504,68.0,59.0,43.0,67.0,58.0,69.0,62.0,42.0,50.0,67.0,76.0,72.0,79.0,60.0,94.0,61.0,40.0,69.0,31.0,57.0,35.0,20.0,59.0,65.0,60.0,51.0,17.0,18.0,19.0,14.0,11.0,10.0,11.0,11.0,1,0,0
8773,B. Godfrey,20,175000,2.0,182.88,73.9368,47.0,35.0,57.0,67.0,40.0,59.0,39.0,33.0,60.0,66.0,69.0,70.0,71.0,58.0,70.0,53.0,75.0,78.0,80.0,55.0,62.0,61.0,46.0,58.0,44.0,68.0,70.0,66.0,65.0,7.0,6.0,12.0,14.0,11.0,1,1,0
8774,D. de Wit,20,140000,3.0,182.88,74.844,59.0,68.0,77.0,70.0,59.0,63.0,54.0,53.0,66.0,65.0,65.0,67.0,67.0,60.0,68.0,72.0,72.0,74.0,70.0,65.0,74.0,62.0,66.0,65.0,58.0,66.0,50.0,54.0,56.0,14.0,8.0,7.0,14.0,11.0,0,1,0
8775,José Carlos,22,70000,2.0,182.88,74.844,48.0,21.0,66.0,64.0,31.0,47.0,46.0,48.0,63.0,66.0,46.0,44.0,40.0,64.0,66.0,43.0,72.0,66.0,67.0,20.0,58.0,67.0,22.0,29.0,34.0,59.0,60.0,67.0,68.0,7.0,9.0,6.0,11.0,6.0,1,0,0
8776,M. Sordell,27,140000,3.0,177.8,81.1944,59.0,64.0,56.0,61.0,62.0,67.0,55.0,53.0,54.0,66.0,83.0,80.0,75.0,63.0,70.0,65.0,79.0,75.0,74.0,64.0,57.0,25.0,60.0,59.0,64.0,69.0,32.0,39.0,33.0,12.0,15.0,13.0,10.0,7.0,1,0,0
8777,S. Carrasco,29,105000,2.0,180.34,74.844,66.0,54.0,53.0,66.0,57.0,60.0,69.0,67.0,60.0,68.0,47.0,51.0,55.0,64.0,67.0,65.0,68.0,67.0,71.0,57.0,71.0,64.0,55.0,60.0,58.0,64.0,63.0,65.0,57.0,7.0,16.0,15.0,10.0,14.0,1,1,0
8778,M. Gelabert,36,105000,3.0,175.26,72.1224,52.0,48.0,56.0,67.0,47.0,66.0,74.0,70.0,65.0,74.0,47.0,48.0,63.0,75.0,68.0,59.0,63.0,36.0,72.0,56.0,75.0,63.0,55.0,73.0,63.0,70.0,50.0,54.0,53.0,13.0,14.0,9.0,12.0,14.0,1,0,0
8779,H. Watanabe,30,105000,2.0,185.42,79.8336,25.0,35.0,66.0,64.0,26.0,23.0,20.0,24.0,52.0,52.0,49.0,55.0,32.0,65.0,40.0,39.0,71.0,71.0,81.0,20.0,50.0,68.0,27.0,33.0,32.0,57.0,57.0,69.0,62.0,7.0,8.0,9.0,15.0,10.0,1,0,0
8780,K. Rodrigues Pires,26,70000,3.0,170.18,62.1432,64.0,61.0,45.0,71.0,61.0,70.0,62.0,67.0,67.0,67.0,66.0,60.0,84.0,56.0,91.0,58.0,59.0,76.0,40.0,52.0,61.0,60.0,54.0,67.0,69.0,67.0,61.0,58.0,47.0,11.0,5.0,15.0,12.0,7.0,1,1,0
8781,B. Manuel,21,140000,4.0,165.1,68.9472,62.0,55.0,38.0,64.0,59.0,71.0,66.0,67.0,56.0,70.0,79.0,73.0,81.0,58.0,86.0,63.0,82.0,59.0,58.0,61.0,41.0,39.0,57.0,62.0,57.0,67.0,29.0,34.0,35.0,16.0,12.0,8.0,16.0,15.0,1,0,0
8782,Álex López,24,105000,3.0,187.96,74.844,35.0,61.0,70.0,66.0,57.0,64.0,47.0,42.0,49.0,70.0,64.0,65.0,66.0,62.0,73.0,56.0,64.0,62.0,77.0,57.0,58.0,23.0,71.0,59.0,60.0,62.0,31.0,25.0,20.0,8.0,12.0,6.0,6.0,12.0,1,1,0
8783,L. Cabezas,32,35000,3.0,182.88,78.9264,37.0,65.0,63.0,48.0,59.0,63.0,48.0,46.0,39.0,63.0,62.0,70.0,58.0,62.0,58.0,70.0,61.0,57.0,73.0,59.0,58.0,16.0,70.0,48.0,70.0,65.0,39.0,28.0,22.0,12.0,9.0,14.0,12.0,13.0,1,0,1
8784,A. Bussaglia,21,35000,3.0,172.72,68.9472,59.0,61.0,41.0,60.0,55.0,70.0,64.0,60.0,50.0,65.0,81.0,72.0,85.0,66.0,77.0,62.0,71.0,61.0,45.0,55.0,53.0,37.0,59.0,63.0,59.0,54.0,64.0,22.0,37.0,15.0,14.0,8.0,10.0,9.0,0,1,1
8785,L. Copete,29,35000,2.0,180.34,86.184,47.0,34.0,63.0,58.0,31.0,45.0,45.0,59.0,55.0,48.0,68.0,64.0,49.0,54.0,59.0,65.0,74.0,70.0,77.0,48.0,70.0,66.0,28.0,32.0,48.0,58.0,64.0,67.0,65.0,13.0,12.0,7.0,13.0,7.0,1,0,1
8786,M. Crimi,28,70000,2.0,177.8,64.8648,67.0,58.0,52.0,65.0,47.0,61.0,50.0,60.0,60.0,64.0,79.0,71.0,75.0,66.0,82.0,64.0,81.0,88.0,66.0,61.0,70.0,62.0,65.0,62.0,57.0,66.0,64.0,65.0,63.0,9.0,9.0,12.0,14.0,15.0,1,1,0
8787,D. Toia,26,70000,2.0,172.72,74.844,58.0,39.0,62.0,63.0,46.0,63.0,58.0,34.0,56.0,62.0,76.0,71.0,67.0,64.0,73.0,68.0,80.0,76.0,64.0,62.0,74.0,65.0,50.0,54.0,49.0,61.0,60.0,64.0,63.0,15.0,6.0,15.0,7.0,16.0,0,1,1
8788,D. Bakker,23,70000,2.0,177.8,69.8544,58.0,49.0,62.0,67.0,51.0,66.0,56.0,60.0,62.0,60.0,64.0,53.0,69.0,65.0,65.0,70.0,87.0,76.0,62.0,58.0,77.0,64.0,56.0,63.0,47.0,67.0,67.0,63.0,64.0,8.0,6.0,10.0,7.0,14.0,1,0,0
8789,Lucas,25,140000,2.0,193.04,88.9056,25.0,23.0,70.0,45.0,32.0,25.0,33.0,25.0,40.0,52.0,50.0,55.0,42.0,46.0,38.0,40.0,75.0,68.0,82.0,24.0,52.0,64.0,30.0,31.0,37.0,58.0,64.0,72.0,64.0,14.0,13.0,10.0,10.0,8.0,1,0,0
8790,Neto Borges,21,35000,3.0,182.88,84.8232,64.0,48.0,58.0,64.0,38.0,68.0,46.0,30.0,59.0,66.0,72.0,74.0,70.0,67.0,68.0,54.0,60.0,76.0,73.0,50.0,64.0,62.0,66.0,66.0,32.0,67.0,63.0,63.0,61.0,10.0,7.0,14.0,6.0,10.0,1,1,0
8791,D. Frare,22,35000,2.0,187.96,77.112,37.0,37.0,70.0,50.0,31.0,48.0,27.0,30.0,47.0,49.0,47.0,62.0,46.0,58.0,52.0,58.0,65.0,62.0,81.0,36.0,70.0,61.0,41.0,42.0,44.0,57.0,68.0,65.0,63.0,11.0,9.0,7.0,12.0,8.0,1,0,0
8792,C. Rivas,24,105000,2.0,172.72,91.17360000000001,68.0,61.0,61.0,60.0,64.0,64.0,73.0,59.0,56.0,61.0,76.0,81.0,72.0,60.0,68.0,80.0,54.0,74.0,76.0,59.0,57.0,29.0,59.0,61.0,58.0,60.0,20.0,17.0,19.0,8.0,16.0,14.0,15.0,16.0,0,1,1
8793,B. Straalman,21,70000,2.0,193.04,73.9368,56.0,23.0,60.0,58.0,31.0,52.0,46.0,29.0,59.0,55.0,52.0,66.0,49.0,55.0,38.0,36.0,65.0,71.0,73.0,30.0,64.0,66.0,39.0,33.0,31.0,58.0,64.0,68.0,65.0,8.0,14.0,14.0,8.0,6.0,1,0,0
8794,T. Chalobah,18,35000,3.0,190.5,74.844,48.0,36.0,61.0,65.0,34.0,65.0,48.0,43.0,58.0,63.0,66.0,73.0,53.0,64.0,59.0,50.0,67.0,68.0,72.0,31.0,66.0,68.0,45.0,51.0,42.0,52.0,64.0,68.0,65.0,5.0,5.0,9.0,9.0,7.0,1,0,0
8795,K. Jóźwiak,20,70000,3.0,175.26,69.8544,62.0,56.0,41.0,58.0,49.0,64.0,49.0,34.0,55.0,64.0,86.0,92.0,75.0,59.0,75.0,61.0,53.0,75.0,68.0,41.0,62.0,31.0,61.0,61.0,52.0,64.0,47.0,37.0,35.0,10.0,14.0,8.0,9.0,13.0,1,1,0
8796,U. Bangura,30,140000,2.0,180.34,74.844,53.0,38.0,59.0,67.0,49.0,60.0,58.0,57.0,66.0,71.0,76.0,72.0,80.0,56.0,70.0,57.0,77.0,81.0,69.0,59.0,74.0,65.0,53.0,68.0,51.0,65.0,60.0,68.0,63.0,7.0,14.0,12.0,9.0,8.0,0,1,1
8797,P. Strand,23,70000,3.0,175.26,71.2152,64.0,56.0,48.0,64.0,59.0,66.0,67.0,68.0,61.0,63.0,90.0,85.0,87.0,58.0,70.0,71.0,72.0,92.0,64.0,64.0,62.0,64.0,58.0,59.0,56.0,60.0,56.0,60.0,58.0,14.0,10.0,9.0,7.0,10.0,0,1,0
8798,F. Ahmadzadeh,25,105000,4.0,175.26,69.8544,61.0,67.0,55.0,62.0,61.0,65.0,58.0,43.0,47.0,69.0,80.0,84.0,74.0,57.0,71.0,76.0,49.0,66.0,48.0,61.0,41.0,24.0,61.0,55.0,60.0,55.0,51.0,28.0,23.0,8.0,9.0,12.0,7.0,6.0,1,0,0
8799,K. Engel,29,70000,2.0,177.8,78.9264,61.0,30.0,70.0,64.0,42.0,55.0,51.0,41.0,57.0,63.0,67.0,64.0,69.0,62.0,75.0,55.0,79.0,75.0,68.0,37.0,68.0,65.0,52.0,55.0,43.0,70.0,66.0,64.0,67.0,6.0,13.0,12.0,7.0,10.0,1,0,0
8800,A. Straith,27,35000,2.0,187.96,88.9056,46.0,23.0,64.0,55.0,28.0,49.0,34.0,36.0,50.0,56.0,59.0,68.0,53.0,55.0,49.0,59.0,63.0,69.0,83.0,32.0,69.0,62.0,25.0,51.0,50.0,51.0,65.0,69.0,60.0,12.0,6.0,11.0,16.0,12.0,1,0,1
8801,Y. Rivera,29,35000,3.0,172.72,68.04,39.0,67.0,57.0,59.0,48.0,68.0,54.0,60.0,47.0,67.0,87.0,90.0,82.0,64.0,71.0,64.0,75.0,79.0,56.0,52.0,54.0,12.0,63.0,57.0,64.0,51.0,55.0,18.0,19.0,10.0,14.0,7.0,14.0,14.0,1,1,0
8802,K. Opseth,28,70000,2.0,187.96,89.8128,59.0,67.0,64.0,59.0,51.0,58.0,65.0,70.0,42.0,62.0,67.0,66.0,56.0,57.0,55.0,75.0,72.0,59.0,83.0,66.0,52.0,16.0,64.0,49.0,59.0,49.0,30.0,21.0,12.0,15.0,12.0,10.0,8.0,6.0,1,0,0
8803,J. Naismith,24,105000,2.0,187.96,83.0088,64.0,45.0,62.0,60.0,13.0,62.0,56.0,29.0,59.0,61.0,80.0,79.0,63.0,56.0,58.0,65.0,75.0,82.0,79.0,40.0,72.0,59.0,56.0,58.0,44.0,53.0,54.0,66.0,63.0,8.0,6.0,7.0,11.0,7.0,1,1,0
8804,Evander,20,175000,3.0,177.8,72.1224,66.0,64.0,36.0,70.0,44.0,65.0,50.0,53.0,63.0,69.0,67.0,66.0,68.0,59.0,70.0,51.0,56.0,62.0,53.0,67.0,48.0,24.0,49.0,67.0,47.0,59.0,48.0,36.0,46.0,11.0,8.0,12.0,11.0,6.0,1,0,0
8805,Íñigo López,35,70000,2.0,185.42,72.1224,37.0,27.0,78.0,59.0,30.0,46.0,54.0,24.0,57.0,55.0,29.0,31.0,58.0,60.0,36.0,32.0,76.0,45.0,75.0,26.0,70.0,62.0,41.0,34.0,39.0,61.0,66.0,66.0,56.0,11.0,10.0,16.0,6.0,11.0,1,0,0
8806,E. Correa,25,35000,3.0,182.88,69.8544,27.0,63.0,66.0,53.0,63.0,66.0,54.0,50.0,40.0,63.0,76.0,69.0,69.0,60.0,51.0,68.0,84.0,59.0,82.0,52.0,76.0,21.0,64.0,37.0,68.0,65.0,41.0,22.0,20.0,13.0,15.0,15.0,13.0,13.0,1,0,0
8807,M. Steinmann,23,140000,2.0,187.96,78.9264,48.0,42.0,61.0,72.0,48.0,59.0,56.0,50.0,69.0,68.0,51.0,51.0,56.0,62.0,50.0,58.0,54.0,68.0,68.0,42.0,51.0,63.0,49.0,65.0,54.0,66.0,64.0,62.0,63.0,12.0,16.0,13.0,8.0,10.0,1,0,1
8808,Y. Toyoda,33,70000,2.0,185.42,78.9264,39.0,69.0,74.0,54.0,53.0,54.0,35.0,33.0,39.0,60.0,34.0,54.0,66.0,69.0,46.0,69.0,72.0,59.0,79.0,56.0,62.0,29.0,71.0,44.0,64.0,68.0,23.0,28.0,17.0,14.0,6.0,13.0,7.0,15.0,1,1,0
8809,E. Atuesta,21,70000,3.0,180.34,71.2152,51.0,55.0,49.0,74.0,46.0,64.0,61.0,39.0,67.0,69.0,69.0,64.0,74.0,65.0,82.0,61.0,60.0,70.0,64.0,55.0,66.0,60.0,42.0,60.0,37.0,57.0,63.0,64.0,62.0,15.0,12.0,12.0,12.0,13.0,1,0,0
8810,A. Abeid,20,140000,2.0,175.26,73.0296,60.0,40.0,58.0,58.0,22.0,52.0,25.0,42.0,39.0,62.0,76.0,68.0,73.0,67.0,75.0,43.0,61.0,76.0,69.0,38.0,50.0,64.0,46.0,40.0,40.0,49.0,60.0,66.0,65.0,7.0,13.0,5.0,7.0,10.0,1,1,0
8811,P. Barrios,28,140000,2.0,180.34,82.1016,68.0,33.0,62.0,56.0,34.0,49.0,28.0,38.0,52.0,58.0,68.0,69.0,66.0,66.0,67.0,62.0,57.0,70.0,69.0,58.0,70.0,67.0,34.0,53.0,41.0,54.0,65.0,66.0,66.0,6.0,9.0,11.0,13.0,8.0,1,0,0
8812,H. Pertuz,29,35000,2.0,182.88,78.0192,26.0,23.0,66.0,58.0,30.0,26.0,22.0,28.0,52.0,50.0,52.0,55.0,57.0,63.0,52.0,34.0,60.0,70.0,82.0,23.0,69.0,64.0,22.0,41.0,39.0,47.0,62.0,66.0,65.0,15.0,14.0,10.0,8.0,6.0,1,0,1
8813,F. Strauss,23,105000,2.0,195.57999999999998,83.916,30.0,26.0,65.0,52.0,31.0,24.0,23.0,30.0,41.0,39.0,46.0,33.0,32.0,64.0,32.0,37.0,69.0,55.0,91.0,20.0,64.0,63.0,28.0,33.0,42.0,54.0,63.0,70.0,64.0,11.0,8.0,14.0,13.0,8.0,1,0,0
8814,R. Schwartz,28,70000,2.0,182.88,79.8336,62.0,66.0,55.0,61.0,58.0,64.0,55.0,27.0,56.0,62.0,68.0,68.0,67.0,61.0,64.0,70.0,67.0,55.0,73.0,66.0,67.0,37.0,68.0,45.0,66.0,68.0,38.0,17.0,23.0,13.0,11.0,6.0,9.0,14.0,0,1,0
8815,F. Moyano,20,140000,3.0,170.18,72.1224,44.0,45.0,62.0,81.0,35.0,65.0,43.0,46.0,67.0,69.0,59.0,64.0,65.0,63.0,74.0,59.0,66.0,72.0,63.0,43.0,64.0,55.0,42.0,59.0,53.0,65.0,65.0,67.0,62.0,12.0,6.0,13.0,14.0,15.0,1,1,0
8816,C. Kum,32,105000,2.0,182.88,71.2152,62.0,32.0,70.0,59.0,32.0,58.0,34.0,32.0,65.0,58.0,65.0,65.0,61.0,64.0,66.0,70.0,82.0,71.0,70.0,43.0,82.0,72.0,35.0,56.0,44.0,70.0,68.0,63.0,65.0,11.0,11.0,14.0,13.0,15.0,1,0,0
8817,M. Albertazzi,27,35000,2.0,185.42,73.0296,59.0,21.0,64.0,57.0,21.0,50.0,55.0,45.0,50.0,52.0,67.0,69.0,57.0,61.0,57.0,69.0,75.0,70.0,70.0,52.0,64.0,69.0,39.0,31.0,39.0,65.0,61.0,72.0,72.0,12.0,6.0,11.0,14.0,9.0,1,0,0
8818,B. Santalab,35,70000,2.0,172.72,72.1224,44.0,72.0,50.0,54.0,69.0,62.0,68.0,40.0,35.0,61.0,66.0,60.0,66.0,60.0,77.0,77.0,87.0,56.0,73.0,68.0,91.0,46.0,68.0,42.0,60.0,69.0,26.0,37.0,22.0,15.0,8.0,14.0,9.0,15.0,1,0,0
8819,F. Nordkvelle,32,70000,3.0,180.34,78.9264,63.0,60.0,61.0,66.0,59.0,65.0,64.0,62.0,65.0,66.0,64.0,66.0,73.0,70.0,76.0,77.0,62.0,72.0,71.0,65.0,69.0,58.0,68.0,65.0,60.0,69.0,54.0,46.0,41.0,14.0,11.0,14.0,9.0,6.0,0,1,0
8820,David Haro,27,70000,3.0,167.64000000000001,60.7824,60.0,65.0,68.0,57.0,54.0,70.0,66.0,55.0,51.0,68.0,82.0,81.0,86.0,56.0,93.0,61.0,77.0,66.0,34.0,55.0,56.0,38.0,66.0,57.0,61.0,68.0,46.0,31.0,35.0,13.0,7.0,14.0,14.0,11.0,1,0,0
8821,Jadson,26,105000,2.0,185.42,79.8336,21.0,23.0,64.0,56.0,22.0,30.0,21.0,25.0,45.0,46.0,70.0,67.0,54.0,59.0,59.0,45.0,79.0,63.0,79.0,34.0,60.0,65.0,28.0,31.0,35.0,59.0,64.0,66.0,66.0,10.0,15.0,6.0,12.0,6.0,1,0,0
8822,João Gabriel,29,175000,2.0,185.42,83.0088,48.0,28.0,66.0,54.0,34.0,37.0,43.0,30.0,51.0,57.0,54.0,54.0,43.0,57.0,49.0,43.0,68.0,64.0,77.0,29.0,81.0,59.0,29.0,34.0,38.0,61.0,65.0,69.0,58.0,8.0,6.0,11.0,5.0,11.0,1,1,0
8823,J. Villarreal,24,105000,3.0,172.72,79.8336,58.0,58.0,51.0,63.0,61.0,73.0,76.0,69.0,58.0,68.0,75.0,69.0,86.0,61.0,81.0,70.0,78.0,55.0,53.0,68.0,61.0,39.0,61.0,65.0,62.0,66.0,20.0,34.0,39.0,14.0,9.0,8.0,16.0,10.0,1,1,0
8824,T. Thompson,22,70000,3.0,170.18,64.8648,54.0,57.0,52.0,66.0,57.0,69.0,70.0,53.0,63.0,70.0,73.0,69.0,79.0,63.0,72.0,62.0,49.0,73.0,49.0,57.0,67.0,54.0,64.0,59.0,58.0,63.0,47.0,51.0,54.0,15.0,14.0,6.0,7.0,13.0,1,0,0
8825,Reinildo,24,70000,3.0,180.34,73.9368,68.0,55.0,56.0,65.0,50.0,71.0,67.0,32.0,43.0,68.0,77.0,76.0,68.0,67.0,71.0,49.0,72.0,59.0,70.0,46.0,64.0,60.0,67.0,55.0,40.0,53.0,60.0,65.0,64.0,6.0,8.0,13.0,15.0,7.0,1,1,0
8826,Z. Flemming,19,70000,3.0,182.88,83.916,50.0,64.0,64.0,66.0,56.0,66.0,54.0,62.0,61.0,70.0,69.0,67.0,65.0,62.0,68.0,64.0,64.0,75.0,75.0,55.0,80.0,45.0,66.0,60.0,64.0,62.0,58.0,54.0,53.0,13.0,7.0,7.0,8.0,9.0,1,0,0
8827,A. Forde,24,280000,3.0,180.34,82.1016,63.0,59.0,42.0,64.0,54.0,66.0,64.0,63.0,62.0,64.0,74.0,73.0,75.0,60.0,74.0,62.0,59.0,75.0,64.0,64.0,40.0,29.0,58.0,63.0,59.0,64.0,30.0,31.0,35.0,14.0,12.0,11.0,13.0,15.0,1,0,0
8828,F. Olinga,22,105000,3.0,177.8,68.04,66.0,48.0,33.0,61.0,54.0,76.0,38.0,60.0,58.0,71.0,79.0,76.0,84.0,58.0,80.0,68.0,76.0,53.0,46.0,57.0,38.0,13.0,58.0,57.0,51.0,62.0,15.0,26.0,11.0,16.0,7.0,12.0,9.0,9.0,1,0,1
8829,Gaspar,20,70000,3.0,170.18,62.1432,72.0,69.0,36.0,68.0,39.0,70.0,37.0,36.0,65.0,71.0,60.0,58.0,64.0,59.0,90.0,56.0,29.0,39.0,36.0,37.0,29.0,46.0,63.0,65.0,49.0,50.0,53.0,27.0,25.0,11.0,9.0,12.0,12.0,10.0,1,0,0
8830,H. Okuno,28,70000,3.0,170.18,67.1328,64.0,65.0,57.0,67.0,56.0,68.0,59.0,32.0,67.0,67.0,73.0,68.0,69.0,67.0,76.0,67.0,69.0,92.0,68.0,68.0,47.0,31.0,68.0,64.0,53.0,52.0,28.0,47.0,30.0,13.0,9.0,7.0,6.0,11.0,1,1,0
8831,Y. Takahashi,33,70000,2.0,170.18,67.1328,47.0,54.0,54.0,65.0,30.0,53.0,32.0,35.0,60.0,67.0,55.0,53.0,85.0,56.0,77.0,64.0,82.0,92.0,57.0,63.0,69.0,66.0,50.0,59.0,39.0,61.0,64.0,64.0,64.0,6.0,14.0,9.0,11.0,9.0,1,1,0
8832,M. Mirić,31,175000,3.0,193.04,81.1944,66.0,69.0,72.0,65.0,64.0,60.0,63.0,41.0,60.0,61.0,53.0,55.0,45.0,56.0,43.0,70.0,53.0,67.0,72.0,59.0,47.0,38.0,70.0,64.0,71.0,71.0,29.0,27.0,22.0,5.0,12.0,15.0,10.0,15.0,0,1,0
8833,K. Vassell,25,350000,2.0,182.88,78.0192,35.0,65.0,61.0,54.0,60.0,60.0,37.0,47.0,51.0,63.0,79.0,79.0,71.0,59.0,62.0,72.0,54.0,69.0,82.0,62.0,55.0,27.0,61.0,44.0,61.0,56.0,32.0,35.0,28.0,6.0,9.0,9.0,7.0,9.0,0,1,0
8834,Rafa Páez,23,175000,2.0,193.04,79.8336,21.0,10.0,65.0,61.0,12.0,31.0,14.0,18.0,46.0,51.0,38.0,41.0,30.0,56.0,30.0,24.0,35.0,49.0,81.0,13.0,64.0,61.0,21.0,27.0,25.0,47.0,69.0,74.0,60.0,14.0,13.0,15.0,8.0,7.0,1,0,0
